ccf_id,control_domain,control_name,control_description,nist_cybersecurity,bsi_c5,cis_v8,mlps,iso_22301,cyber_essentials_uk,ens,iso_27001,iso_27002,iso_27017,iso_27018,tx_ramp_L1,fedramp_tailored,fedramp_moderate,hipaa_security,irap,ismap,mas,pci_dss_v4,kfsi,soc_2,nist_cybersecurity_ref,bsi_c5_ref,cis_v8_ref,mlps_ref,iso_22301_ref,cyber_essentials_uk_ref,ens_ref,iso_27001_ref,iso_27002_ref,iso_27017_ref,iso_27018_ref,tx_ramp_L1_ref,fedramp_tailored_ref,fedramp_moderate_ref,hipaa_security_ref,irap_ref,ismap_ref,mas_ref,pci_dss_v4_ref,kfsi_ref,soc_2_ref
AM-11,Asset Management,Tampering of Payment Card Capture Devices,Devices that physically capture payment card data are inspected for evidence of tampering on a semi-annual basis.,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,9.5.1.2,,
AM-12,Asset Management,Component Installation: Inspection and Approval,"Prior to installation in a production network, hardware components are inspected for improper or unauthorized modifications.",,X,X,,,,,,,,,,X,X,,X,,,X,,,,AM-03,4.2,,,,,,,,,,"SR-11
SR-11 (01)",MA-03 (02),,"ISM-1418
ISM-0343",,,"2.2, 6.5.1",,
AM-13,Asset Management,Software bill of Material,Organization maintains a comprehensive software bill of materials,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,ISM-1730,,,,,
BC-01,Business Continuity,Business Continuity Plan,"Organization's business contingency plan is periodically reviewed, approved by management and communicated to relevant team members.",X,X,,X,X,,X,,,,,X,X,X,X,,X,X,,X,X,RCIM-2,"BCM-01
BCM-02
BCM-03
BCM-04",,8.1.10.13,"4.4

5.1(a)

5.1(b)

5.1�

5.1(g)

6.2.1(a)
6.2.1(e)

6.3(a)

6.3(b)

7.5.1(a)

7.5.1(b)

8.1� 
8.2.1(b)

8.3.5

8.4.1(a)

8.4.1(b)

8.4.1�

8.4.1(d)

8.4.1�

8.4.2.1

8.4.2.2

8.4.2.3(a)

8.4.2.3(b)

8.4.2.3�

8.4.2.3(d)

8.4.2.3�

8.4.2.3(f)

8.4.2.3(g)

8.4.2.3(h)

8.4.2.4(a)

8.4.2.4(b)

8.4.3.1(a)

8.4.3.1(b)

8.4.3.1(c)

8.4.3.1(d)

8.4.3.1(e)

8.4.3.1(f)

8.4.3.2(a)

8.4.3.2(b)

8.4.3.2

8.4.4.1

8.4.4.2(a.1)

8.4.4.2(a.2)

8.4.4.2(b)

8.4.4.2(c)

8.4.4.2(d.1)

8.4.4.2(d.2)

8.4.4.2(d.3)

8.4.4.3(a)

8.4.4.3(b)

8.4.4.3(c)

8.4.4.3(d)

8.4.4.3(e)

8.4.4.3(f)

8.4.4.3(g)

8.4.4.3(h)

8.6(a)

8.6(e)

8.6

10.2",,"42

43

44

70",,,,,"CP-01
CP-02","CP-01
CP-02","CP-01
CP-02
CP-02 (01)","164.308(a)(7)(i)
164.308(a)(7)(ii)(B)
164.308(a)(7)(ii)�",,"17.1.1.1
17.1.1.3
17.1.2.1
17.1.2.3
17.1.2.4
17.1.2.5
17.1.3.4",8.2,,5.1.1,CC7.5
BC-02,Business Continuity,Business Continuity Plan: Personal Health Information,Organization's Business Contingency Plan addresses how to access facilities and obtain data during an emergency.,,,,X,,,,,,,,,,,X,,,,,,,,,,8.1.10.13,,,,,,,,,,,"164.310(a)(2)(i)
164.312(a)(2)(ii)",,,,,,
BC-03,Business Continuity,Business Continuity Plan: Roles and Responsibilities,Business contingency roles and responsibilities are assigned to individuals and their contact information is communicated to authorized personnel.,,,,,X,,,,,,,,,X,,,,,,,,,,,,"4.2.1(a)
4.2.1(b)
5.1�
5.1(f)
5.1(h)
5.3(a)
5.3(b)
6.2.2�
6.3(d)
7.1
7.3(b)
7.3(d)",,,,,,,"CP-01
CP-02
IA-02","CP-01
CP-02
IA-02","CP-01
CP-02
IA-02",,,,,10.7.3,,
BC-04,Business Continuity,Continuity Testing,"Organization performs business contingency and disaster recovery tests on a periodic basis and ensures the following: 
� tests are executed with relevant contingency teams
� test results are documented
� corrective actions are taken for exceptions noted
� plans are updated based on results",X,X,,X,X,,X,,X,,,X,X,X,X,,X,X,X,X,X,"RC.IM-2 
PR.IP-9
PR.IP-10
ID.SC-5
PR.PT-5","BCM-01
BCM-02
BCM-03
BCM-04
OPS-08
PS-02 ",,"8.1.10.12
8.1.10.13","6.2.1(b)

8.4.5

8.5

8.5(a)

8.5(b)

8.5�

8.5(d)

8.5�

8.5(f)

8.5(g)

8.6(b)

9.1",,"42

44

45

70",,5.3,,,CP-04,CP-04,"CP-04
CP-04 (01)","164.308(a)(7)(ii)(B)
164.308(a)(7)(ii)�
164.308(a)(7)(ii)(D)
164.310(a)(2)(i)",,"17.1.1.4
17.1.2.6
17.1.3.1
17.1.3.2
17.1.3.3","8.2
8.3",10.7.3,"5.2.1
5.2.2","CC7.5
A1.3"
BC-05,Business Continuity,Business Impact Analysis,"Organization identifies the business impact of relevant threats to assets, infrastructure, and resources that support critical business functions. Recovery objectives are established for critical business functions.",X,X,,,X,,X,,X,,,X,X,X,X,X,X,X,X,,X,"ID.BE-5
PR.IP-9","BCM-02
BCM-03
BCM-04
OPS-08",,,"4.3.1(a)

4.3.1(b)

4.3.1�

4.3.2(a)

4.3.2(b)

6.2.1�

6.2.1(d)

6.2.1�

6.2.1(f)

6.2.1

6.2.2(a)

6.2.2(b)

6.2.2(d)

6.2.2�

8.2.1(a)

8.2.1(b)

8.2.2(a)

8.2.2(b)

8.2.2�

8.2.2(d)

8.2.2�

8.2.2(f)

8.2.2(g)

8.2.2(h)",,"42

43

70",,5.29,,,CP-09,CP-09,"CP-09
CP-02 (08)
CP-07 (03)",164.308(a)(7)(ii)(E),ISM-0246,"12.2.1.10
12.2.1.11
17.1.1.2
17.1.2.2",8.2,10.7.3,,CC7.5
BC-06,Business Continuity,Capacity Forecasting,Budgets for infrastructure capacity are established based on analysis of historical business activity and growth projections; purchases are made against the established budget and plans are updated on a quarterly basis.,,X,,,X,,X,,X,,,,,X,X,,X,X,,,X,,"BCM-01
OPS-01",,,"6.3�

8.3.4(a)

8.3.4(b)

8.3.4�

8.3.4(d)

8.3.4�

8.3.4(f)

8.3.4(g)

8.3.4(h)",,"42

70",,8.6,,,,,CA-02 (03),164.308(a)(7)(ii)�,,12.1.3.8,8.1,,,"CC3.1
A1.1"
BM-01,Backup Management,Backup Configuration,Organization configures redundant systems or performs periodic backups of data to resume system operations in the event of a system failure.,X,X,X,X,,,,,X,,X,X,X,X,X,X,X,X,X,X,X,PR.IP-4,"OPS-06
OPS-07
PS-02",11.2,"8.1.2.1
8.1.4.9
8.1.5.1
8.1.10.11
8.2.4.6 (a)
8.2.4.6 (b)",,,,,"5.33

8.13

8.14 ",,A.10.3,"CP-09
CP-10","CP-09
CP-10","CP-09
CP-10
CP-02 (03)
CP-06
CP-07
CP-09 (01)","164.308(a)(7)(ii)(A)
164.308(a)(7)(ii)(B)
164.310(d)(2)(iv)","ISM-1547
ISM-1511","8.3.1.7
17.2.1.3
14.1.2.15","8.1
8.4",10.7.3,"5.1.1
5.2.1","CC7.5
CC9.1
A1.2
C1.1"
BM-02,Backup Management,Resilience Testing,Organization performs annual backup restoration or data replication tests to confirm the reliability and integrity of system backups or recovery operations.,X,X,X,X,,,X,,X,,X,X,X,X,X,X,X,X,X,X,X,PR.IP-4,"OPS-06
OPS-08
OPS-09
PS-02","11.1
11.3
11.5","8.1.4.9
8.1.10.11",,,100,,8.13,,A.10.3,CP-10,CP-10,"CP-10
CM-02 (02)
CP-06
CP-07
CP-09 (01)","164.308(a)(7)(ii)(A)
164.308(a)(7)(ii)(B)
164.310(d)(2)(iv)","ISM-1548
ISM-1511
ISM-1515
ISM-0455","12.3.1.1
12.3.1.2
12.3.1.3
12.3.1.4
12.3.1.5
12.3.1.6
12.3.1.7
12.3.1.8
12.3.1.9
12.3.1.10
12.3.1.11
12.3.1.13
12.3.1.14",8.4,10.7.3,"5.2.1
5.2.2","CC7.5
CC9.1
A1.2
A1.3
C1.1"
BM-03,Backup Management,Backup Failure Review,Failed backup jobs are periodically reviewed and resolved in a timely manner.,,X,X,X,,,,,,,,,,,,,X,,X,,,,OPS-06,"11.1
11.5",8.1.10.11,,,,,,,,,,,,,12.3.1.12,,10.7.3,,
BM-04,Backup Management,Alternate Storage,Organization backups are securely stored in an alternate location from source data.,,,X,,,,,,,,,,,X,,,X,,,X,,,,11.4,,,,,,,,,,,"CP-06 (01)
CP-07 (01)
SA-09 (05)",,,14.1.3.5,,,5.2.1,
BM-05,Backup Management,Alternate Telecommunication,Alternate telecommunication service agreements have been established to resume business when the primary service gets disrupted. Service agreements contain priority of service provisions.,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,"CP-07 (03)
CP-08 (01)
CP-08 (02)",,,,,,,
CFM-01,Configuration Management,Baseline Configuration Standard,Organization ensures security hardening and baseline configuration standards have been established according to industry standards and are reviewed and updated periodically.,X,X,X,X,,,X,,X,X,,X,X,X,X,X,X,X,X,X,X,"DE.AE-1
PR.IP-1
PR.PT-3","AM-03
COS-03
OPS-04
OPS-05
OPS-23
PSS-11","4.1
4.2
16.7","8.1.3.2
8.1.5.1
8.1.10.6
8.1.10.8
8.2.4.4",,,"4

13

88

89

90",,8.9,CLD.9.5.2,,"CA-03
CM-01
CM-02
CM-06","CA-03
CM-01
CM-02
CM-06
PL-10
PL-11","CA-03
CM-01
CM-02
CM-06
CM-02 (03)
SA-10",164.308(a)(5)(ii)(B),"ISM-0289
ISM-1743
ISM-1744
ISM-1408
ISM-1406
ISM-1409
ISM-1654
ISM-1655
ISM-1492
ISM-0843
ISM-1490
ISM-1656
ISM-1657
ISM-1658
ISM-1582
ISM-1392
ISM-1746
ISM-1544
ISM-1659
ISM-0846
ISM-1621
ISM-1622
ISM-1623
ISM-1624
ISM-0938
ISM-1412
ISM-1486
ISM-1485
ISM-1666
ISM-1668
ISM-1670
ISM-1601
ISM-1585
ISM-0100
ISM-1748
ISM-1671
ISM-1488
ISM-1673
ISM-1603
ISM-1055
ISM-1686
ISM-1460
ISM-1604
ISM-1605
ISM-1211
ISM-1704
ISM-0304
ISM-1753
ISM-1501
ISM-1717
ISM-1246
ISM-1251
ISM-1311
ISM-1312
ISM-1318
ISM-1710
ISM-1320
ISM-1319
ISM-1332
ISM-1321
ISM-1330
ISM-1712
ISM-1037
ISM-0100
ISM-1236
ISM-1171
ISM-0659
ISM-0651
ISM-0652
ISM-1524
ISM-1389
ISM-0649
ISM-1284
ISM-1286
ISM-1287
ISM-0677","9.5.2.1.PB
12.5.1.7","7.2
11.3
12.2","1.2, 1.2.1, 2.2, 2.2.1",8.1.1,"CC6.8
CC7.1
CC8.1"
CFM-02,Configuration Management,"Default ""Deny-all"" Settings","Where applicable, the information system default access configurations are set to ""deny-all.""",,,X,X,,X,,,,,,,,X,,X,,,X,,,,,4.5,"8.1.3.2
",,Firewalls,,,,,,,,AU-09 (04),,"ISM-1654
ISM-1655
ISM-1492
ISM-0843
ISM-1490
ISM-1656
ISM-1657
ISM-1658 
ISM-1582
ISM-1392
ISM-1746
ISM-1544
ISM-1659
ISM-0846
ISM-1621
ISM-1622
ISM-1623
ISM-1624
ISM-1486
ISM-1485
ISM-1666
ISM-1668
ISM-1670
ISM-1601
ISM-1585
ISM-1748
ISM-1671
ISM-1488
ISM-1673
ISM-1603
ISM-1055
ISM-1686
ISM-1704
ISM-0304
ISM-1753
ISM-1501
ISM-1247
ISM-1251
ISM-1709",,,"2.2.6, 7.3.3",,
CFM-03,Configuration Management,Remote Access: Prohibited Protocols and Commands,Organization defines a listing of prohibited user commands and prohibited protocols that can be used in a remote session.,,,X,,,,,,,,,X,X,X,,,,,X,,,,,13.5,,,,,,,,,AC-17,AC-17,"AC-17
AC-17 (04)
AU-09 (04)",,,,,"1.2.5, 1.2.6, 2..2.4, 2.2.5, A2.1, A2.1, 2.1.2",,
CFM-04,Configuration Management,Data Execution Prevention,Organization ensures data execution prevention (DEP) security features are enabled on production hosts to restrict code execution within memory.,,,X,,,,,,,,,,,X,,,,,X,,,,,10.5,,,,,,,,,,,"CM-07 (02)
SI-16",,,,,2.2.6,,
CFM-05,Configuration Management,Client Run Time Technologies,Organization disables prohibited client run time technologies on information systems.,,,X,,,,,,,,,,,X,,,,,X,,,,,9.4,,,,,,,,,,,CA-03 (05),,,,,"1.2.5, 1.2.6, 2..2.4, 2.2.5",,
CFM-06,Configuration Management,Prohibited Activity Monitoring,Organization information systems are configured to explicitly deny a predefined list of activities.,,,,,,,,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,,"AU-09 (04)
CA-03 (05)",,"ISM-1654
ISM-1655
ISM-1492
ISM-0843
ISM-1490
ISM-1656
ISM-1657
ISM-1658 
ISM-1582
ISM-1392
ISM-1746
ISM-1544
ISM-1659
ISM-0846
ISM-1621
ISM-1622
ISM-1623
ISM-1624
ISM-1486
ISM-1485
ISM-1666
ISM-1668
ISM-1670
ISM-1601
ISM-1585
ISM-1748
ISM-1671
ISM-1488
ISM-1673
ISM-1603
ISM-1055
ISM-1686
ISM-1704
ISM-0304
ISM-1753
ISM-1501
ISM-1251
ISM-0260
ISM-0963
ISM-0961
ISM-1237
ISM-1236
ISM-1171
ISM-0659
ISM-0651
ISM-0652
ISM-1524
ISM-1389
ISM-0649
ISM-1284
ISM-1286
ISM-1287
ISM-0677",,,"1.2.5, 1.2.6, 2..2.4, 2.2.5",,
CFM-07,Configuration Management,Configuration Checks,Organization uses mechanisms to detect deviations from baseline configurations on production environments.,,X,,X,,,X,,X,,,X,X,X,X,,,X,X,,X,,"AM-03
COS-03
OIS-04
OPS-04
OPS-05
OPS-23",,8.2.4.4,,,"4

13

15

88

89

90",,8.18,,,"CM-06
CM-07","CM-06
CM-07","CM-06
CM-07
CM-06 (01)
CM-09
SA-10",164.308(a)(5)(ii)(B),,,"7.2
11.3
12.2","11.6, 11.6.1",,"CC6.8
CC7.1"
CFM-08,Configuration Management,Configuration Check Reconciliation: Logging,Organization reconciles the established device inventory against the enterprise log repository on a quarterly basis; devices which do not forward security configurations are remediated.,,,,X,,,,,,,,,,,,,,,X,,,,,,8.1.10.6,,,,,,,,,,,,,,,"10.4 ,10.4.1, 10.4.1.1, 10.4.2, 10.4.2.1",,
CFM-09,Configuration Management,Time Clock Synchronization,Systems are configured to synchronize information system time clocks based on International Atomic Time or Coordinated Universal Time (UTC).,,,X,,,,X,,X,,,,,X,,,X,,X,X,,,,8.4,,,,"13

37",,8.17,,,,,AC-21,,,"12.4.4.1
12.4.4.2
12.4.4.3
12.4.4.4.PB",,"10.6, 10.6.1, 10.6.2, 10.6.3",9.1.1,
CFM-10,Configuration Management,Time Clock Configuration Access,Access to modify time data is restricted to authorized personnel.,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,SA-10,,,,,10.6.3,,
CFM-11,Configuration Management,Default Device Passwords,Vendor-supplied default passwords are changed according to Organization standards prior to device installation on the Organization network or immediately after software or operating system installation.,,,,X,,X,X,,,,,,,,,X,,,X,,,,,,"8.1.4.2
8.1.10.9",,"Firewalls

Secure Configuration",13,,,,,,,,,"ISM-1260
ISM-1304
ISM-1316",,,2.2.2,,
CFM-12,Configuration Management,Process Isolation,Organization implements only one primary function per server within the production environment; the information system maintains a separate execution domain for each executing process.,,,X,,,,X,,,,,,,X,,X,,,X,,,,,12.8,,,,13,,,,,,,"AC-04 (21)
SC-02",,"ISM-1750
ISM-1381
ISM-0385
ISM-1479",,,"2.2.2, 8.2.2",,
CFM-13,Configuration Management,Collaborative Devices,"Where applicable, collaborative computing devices used at Organization are configured to restrict remote activation and provide an explicit indication that they are in use.",,,X,,,,X,,,,,,X,X,,,,,X,,,,,12.8,,,,13,,,,,,SC-15,SC-15,,,,,"8.2.2, 8.2.5",,
CFM-14,Configuration Management,Software Installation,Installation of software or programs in the production environment is approved by authorized personnel.,,,X,X,,X,,,X,,,X,X,X,,X,X,,X,,,,,"2.4
2.5
2.6","8.1.4.4
8.1.10.6
8.3.3.2",,Malware protection,,,8.19,,,CM-11,CM-11,CM-11,,"ISM-1584
ISM-1491
ISM-1592
ISM-0382","9.4.4.2
9.4.4.4
9.4.4.5
9.4.4.8
12.5.1.12
12.5.1.13
12.6.2.1
12.6.2.3",,"2.2.4, 6.3.3",,
CFM-15,Configuration Management,Job Schedules,"Schedule changes or the modifications of production jobs require:
� documented approval from authorized personnel
� documented monitoring details",,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,ISM-1211,,,"6.5, 6.5.1",,
CHM-01,Change Management,Change Management Workflow,"Change scope, change type, and roles and responsibilities are pre-established and documented in a change control workflow; notification and approval requirements are also pre-established based on risk associated with change scope and type.",X,X,,X,,,X,,X,,,X,X,X,,,X,X,X,X,X,PR.IP-3,"DEV-01 
DEV-03
DEV-05
DEV-07",,"8.1.7.3
8.1.10.10",,,"30

87",,8.32,,,SA-03,"SA-03
CM-05","SA-03
CM-03
CM-05 (05)
SA-10",,,"4.5.4.4
12.1.2.1
12.1.2.2
12.1.2.3
12.1.2.4
12.1.2.5
12.1.2.6
12.1.2.7
12.1.2.8
12.1.2.9
14.2.2.1
14.2.2.2
14.2.2.3
14.2.2.4
14.2.2.5
14.2.2.6
14.2.2.7
14.2.2.8
14.2.2.9
14.2.2.10
14.2.2.11
14.2.2.12
14.2.2.13
14.2.2.15
14.2.2.16
14.2.2.17
14.2.4.1
14.2.4.2
14.2.4.3
14.2.4.4
14.2.4.5
14.2.4.6
14.2.4.7
14.2.4.8
14.2.4.9","5.4
7.5","6.5, 6.5.1","3.2.1
8.1.1",CC8.1
CHM-02,Change Management,Change Approval,"Prior to introducing changes into the production environment, approval from authorized personnel is required based on the following:
� change description
� impact of change
� test results
� back-out plan",,X,,X,,,X,,X,X,,X,X,X,,,X,X,X,X,X,,"AM-03
DEV-05
DEV-06
DEV-07
DEV-09
OIS-04
PSS-02
PSS-09",,8.1.9.4,,,"30

88

89

90",,8.3,CLD.12.1.5,,"CM-04
CM-06","CM-04
CM-06","CM-04
CM-06
CM-03
SA-10",,,"12.1.2.1
12.1.2.2
12.1.2.3
12.1.2.4
12.1.2.5
12.1.2.6
12.1.2.7
12.1.2.8
12.1.2.10
12.5.1.3
12.5.1.4
12.5.1.5
12.5.1.6
12.5.1.8
12.5.1.10
14.2.3.1
14.2.3.2
14.2.3.3
14.2.4.10
14.2.8.1
14.2.8.3
14.2.9.1
14.2.9.2
9.4.4.11.P","5.5
5.7
5.8
6.3
7.4
7.5",6.5.1,3.2.1,CC8.1
CHM-03,Change Management,Segregation of Duties,Changes to the production environment are implemented by authorized personnel. ,X,X,,,,,X,,,,,X,,X,,,X,X,X,X,X,PR.AC-4,"DEV-07
OIS-04",,,,,"2

4

5

16

87",,,,,CM-05,,"CM-03
CM-05 (05)
SA-10",,,"6.1.2.2
12.5.1.1
14.2.6.11
14.2.6.12","6.3
7.6",6.5.4,2.1.2,CC6.1
CHM-04,Change Management,Communication of Maintenance and Downtime,Customer-impacting product and system changes are publicly communicated on the company website.,,,,,,,,,,X,,,,,,,X,,,X,X,,,,,,,,,,CLD.12.4.5,,,,,,,"12.1.2.11.PB
12.1.5.1.PB",,,3.2.1,CC2.3
CMS-01,Customer Managed Security,Customer Administrative Access,"For products that enable customers to manage their end users, privileged user roles exist with the capability to manage end user access to the relevant applications.",,X,,,,,,,,,,,,,,,,,,,,,"PSS-05
PSS-08",,,,,,,,,,,,,,,,,,,
CMS-02,Customer Managed Security,Customer Authentication,Authentication to organization customer-facing applications are  performed through secure log-on procedures.,,X,,,,,,,,,,,,,,,,,,X,,,PSS-05,,,,,,,,,,,,,,,,,,7.3.1,
CMS-03,Customer Managed Security,Customer Systems Monitoring,"As necessary, event logs are made available to customers.",,X,,,,,,,,,,,,,,,,,,,,,OPS-03,,,,,,,,,,,,,,,,,,,
CMS-04,Customer Managed Security,Customer Security Engagements,"Organization supports customer-requested security inquiries, questionnaires, and audits:
� in accordance with customer contracts and agreements
� to facilitate due diligence prior to licensing organization products",,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,6.1.3,
CRY-01,Cryptography,Encryption Key Maintenance,Cryptographic keys are invalidated when compromised or at the end of their defined lifecycle period.,,,,,,,X,,,,,X,X,X,,X,X,,X,X,,,,,,,,"24

25

38

39

94",,,,,"PS-05
SC-12",PS-05,PS-05,,"ISM-1611
ISM-1612
ISM-1614
ISM-1615
ISM-1091","18.1.5.2
9.3.1.3
10.1.1.4",,"3.7.4, 3.7.5",10.2.2,
CRY-02,Cryptography,Encryption Key Distribution,Organization prohibits the distribution of cryptographic keys in clear text.,,,,,,,,,,,,X,,,,,X,,X,,,,,,,,,,,,,,SC-12,,,,,"9.4.2.14
9.4.3.9",,3.7.6,,
CRY-03,Cryptography,Encryption Key Storage,Encryption keys are securely stored in an approved encryption platform.,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,3.7.3,,
CRY-04,Cryptography,Clear Text Key Management,"If applicable, manual clear-text cryptographic key-management operations must be managed using split knowledge and dual control.",,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,3.7.6,,
