ccf_id,control_domain,control_name,control_description,control_theme,control_type,policy_standard,implementation_guidance,testing_procedure,audit_artifacts
AM-11,Asset Management,Tampering of Payment Card Capture Devices,Devices that physically capture payment card data are inspected for evidence of tampering on a semi-annual basis.,Process,Detective,Asset Management Policy,"1. Ensure all payment card devices are inspected on semiannual basis to check for tampering.

2. Ensure that appropriate documentation is maintained regarding maintenance activities of these devices","1. Inspect devices verification records for tampering check.

2. Inspect and validate whether these verification were done at least semi-annually.",E-AM-09 
AM-12,Asset Management,Component Installation: Inspection and Approval,"Prior to installation in a production network, hardware components are inspected for improper or unauthorized modifications.",Process,Preventive,Asset Management Policy,"1. Ensure a process is established and documented for approval of hardware prior to installation on production.

2. Ensure each asset is inspected with agreed on procedures before being enabled on production.","1. Validate if a process exists for the approval and verification of hardware prior to production installation.

2. Inspect hardware components installation records in a production network to determine that modifications were validated before installation.
","E-AM-01

E-AM-10" 
AM-13,Asset Management,Software bill of Material,Organization maintains a comprehensive software bill of materials,Process,Preventive,Asset Management Policy,"1. Ensure a Software bill of material is established.

2. Ensure that a process has been established and documented for the  addition, removal,  and update of components from SBOM.
","1. Inspect and validate that a Software bill of material is established.

2. Validate that a process has been established and documented for addition, removal,  and update of components from SBOM.
","E-AM-01

E-AM-11" 
BC-01,Business Continuity,Business Continuity Plan,"Organization's business contingency plan is periodically reviewed, approved by management and communicated to relevant team members.",Process,Preventive,Business Continuity Policy,"1. Design and document a process for Business Continuity and Disaster Recovery.

2. Define steps for recovery with all roles and responsibilities in the Business Continuity Plan.

3. Ensure that the Business Continuity Plan is approved by the process owners, and is communicated to all the relevant team members.","1. Inspect and validate whether the Business Continuity and Disaster Recovery Processes are designed and documented.

2. Inspect Organization's Business Continuity Plan (BCP) to determine whether Organization has established recovery steps and phases, recovery capabilities, and identified personnel responsible to execute recovery procedures.

3. Inspect the most recent version of Organizations BCP to determine whether it is periodically reviewed and approved.

4. Inspect the corporate intranet to determine whether Organizations BCP is communicated to relevant team members.
","E-BC-01
E-BC-02" 
BC-02,Business Continuity,Business Continuity Plan: Personal Health Information,Organization's Business Contingency Plan addresses how to access facilities and obtain data during an emergency.,Process,Corrective,Business Continuity Policy,1. Ensure that steps to be followed in case of an emergency are clearly mentioned in the Business Continuity Plan so that access to the facilities and data is facilitated during an emergency.,1. Inspect an organization's Business Contingency Plan to determine whether Organization has addresses how to access facilities and obtain data during an emergency.,E-BC-02 
BC-03,Business Continuity,Business Continuity Plan: Roles and Responsibilities,Business contingency roles and responsibilities are assigned to individuals and their contact information is communicated to authorized personnel.,Process,Corrective,Business Continuity Policy,"1. Check that roles and responsibilities are clearly defined in the Business Continuity Plan. There should be proper demarcation of responsibilities during each phase of the crisis.

2. Ensure that the contact information for all the stakeholders is defined within Business Continuity Plan and should be up to date, documented, and communicated to all authorized personnel.

3. Ensure that people with roles and responsibilities within Business Continuity Plans are well aware of their responsibilities.","1. Inspect documentation consisting of business contingency roles and responsibilities. .

2. Inspect whether the contact information of personnel with business continuity responsibilities are documented within the Business Continuity Plan.

3. Inspect evidence to check whether roles and responsibilities are communicated to all applicable stakeholders and audience",E-BC-02 
BC-04,Business Continuity,Continuity Testing,"Organization performs business contingency and disaster recovery tests on a periodic basis and ensures the following: 
 tests are executed with relevant contingency teams
 test results are documented
 corrective actions are taken for exceptions noted
 plans are updated based on results",Process,Detective,Business Continuity Policy,"1. Ensure that Business Continuity testing should be performed on a periodic basis as per the organization policy.

2. The business continuity testing should emulate the Business Continuity Plan and should check the coverage and efficiency of the plan. All the relevant team preparedness should be assessed in this testing.

3. Ensure that the test results are documented, and any exceptions are noted and appropriate corrective action is undertaken.","1. Inspect whether Business Continuity Testing was performed on a periodic basis as per the organization's policy.

2. Inspect the most recent BCP test and inspect DR tests results to determine whether tests were executed and results were documented.

3. Validate whether the results of the testing exercises were tracked to remediation.",E-BC-03 
BC-05,Business Continuity,Business Impact Analysis,"Organization identifies the business impact of relevant threats to assets, infrastructure, and resources that support critical business functions. Recovery objectives are established for critical business functions.",Process,Corrective,Business Continuity Policy,"1. Design and document a process for conducting Business Impact Analysis to determine the criticality of business activities and associated resource requirements.

2. Ensure that BIA is conducted for all processes and assets to identify criticality.

3. Ensure that recovery objectives are established for critical processes.

 ","1. Inspect and validate whether a documented process exists for conducting Business Impact Analysis.

2. Inspect Business Impact Analysis to determine whether the threats to assets, infrastructure, and resources are identified and the recovery objectives are established.","E-BC-01
E-BC-02" 
BC-06,Business Continuity,Capacity Forecasting,Budgets for infrastructure capacity are established based on analysis of historical business activity and growth projections; purchases are made against the established budget and plans are updated on a quarterly basis.,Process,Preventive,Infrastructure Management Policy,"1. Ensure that  capacity forecasts are created based on the business forecasts, growth projections and analysis of historic business activity.
 
2. Ensure that budget allocation is done for infrastructure and resources basis Capacity forecasts.","1. Inspect and validate whether capacity planning was done and forecasts were created.

2. Validate whether budgets were established and capacity forecasts were taken into the account for the same.
",E-BC-05 
BM-01,Backup Management,Backup Configuration,Organization configures redundant systems or performs periodic backups of data to resume system operations in the event of a system failure.,Process,Corrective,Backup Management Policy,"1. Ensure that Backup and Restoration process is established, documented and communicated to all the relevant stakeholders.

2. Ensure that all the information systems have redundancy or should be backed up periodically. Periodicity of the backup should be defined basis the criticality of the information system and data.

3. Check the backup configuration for all the storage/database resources whether on-prem or on cloud.

4. Ensure that alert are in place for backup failures and all backup failures are handled appropriately.","1. Inspect documentation to determine whether requirements for the configuration of redundant systems or performance of periodic backups of data to resume system operations are defined.

2.Inspect redundancy or system backup configurations for production systems to determine type, frequency, and storage of backups.

3. Inspect sample alerts for failed backups and validate the remediation steps.","E-BM-01
E-BM-07" 
BM-02,Backup Management,Resilience Testing,Organization performs annual backup restoration or data replication tests to confirm the reliability and integrity of system backups or recovery operations.,Process,Detective,Backup Management Policy,"1. Ensure that the requirement for backup restoration testing is defined and documented appropriately. 

2. Ensure that backup restoration testing is performed on an annual basis and ensure that the integrity of backup restores are maintained. ","1. Inspect relevant documentation to determine whether requirements for annual backup restoration or failover and failback tests have been defined.

2. Inspect annual backup restoration, or failover and failback tests to determine whether Organization has tested the reliability and integrity of system backups.","E-BM-01
E-BM-02" 
BM-03,Backup Management,Backup Failure Review,Failed backup jobs are periodically reviewed and resolved in a timely manner.,Process,Corrective,Backup Management Policy,"1. Ensure that alert are sent to the system administrators in case of backup failures.

 2. All backup failures should be handled appropriately and resolved in a timely manner.","1. Inspect whether failed backup jobs are being reviewed periodically.

2. Inspect alerts are configured to notify administrators if backup fails.

3. Inspect and validate the remediation process for failed backups.
","E-BM-03
E-BM-06" 
BM-04,Backup Management,Alternate Storage,Organization backups are securely stored in an alternate location from source data.,Process,Corrective,Backup Management Policy,"1. Ensure that the backups are stored in an alternate location than the source data.

2. Ensure that access to the backups is restricted and backups are stored securely.","1. Inspect whether backups are stored in a different location than the source data.

2. Inspect evidence showing that backups are secured and access in restricted.",E-BM-04 
BM-05,Backup Management,Alternate Telecommunication,Alternate telecommunication service agreements have been established to resume business when the primary service gets disrupted. Service agreements contain priority of service provisions.,Process,Preventive,Backup Management Policy,"1. Ensure that alternate telecommunication service agreements are defined to resume business when the primary service gets disrupted.

2. The priority of the service provisions should be defined in the service agreements.","1. Inspect whether alternate telecommunication service agreements are defined to resume business when the primary service gets disrupted.

2. Inspect documentation to determine that the Service agreements contain priority of service provisions.",E-BM-05 
CFM-01,Configuration Management,Baseline Configuration Standard,Organization ensures security hardening and baseline configuration standards have been established according to industry standards and are reviewed and updated periodically.,Process,Preventive,Infrastructure Management Policy,"1. Prepare and maintain Security hardening and Baseline configuration standards shall be established.

2. Configuration of systems (systems can include AWS, Azure, GCP, and more) shall be configured with the baseline configuration.

3. Configure required permissions for the configuration management server. 

4. Configuration of Security Groups, NACLs, and virtual firewall appliances shall be in place.

5. Configuration of VPC Firewall Rules and virtual firewall appliances to allow traffic from the configuration management server to the other system servers.

6. All production systems shall be able to demonstrate consistent system configurations via version control number, last update date, settings, or other.

7. Process shall be established to ensure that latest version patch (hardened as per industry practices) is applied wherever possible.

8. Ensure that security hardening and configuration baselines are monitored are flagged wherever deviation is observed.

9. Establish a process ensuring regular rule set reviews are conducted by relevant teams for network devices.","1. Validate whether Security hardening and Baseline configuration standards are established.

2. Inspect baseline configuration of systems (systems can include AWS, Azure, GCP, and more) shall be configured with the baseline configuration.

3. Validate whether the required permissions are present for the configuration management server. 

4. Inspect Security Groups, NACLs, and virtual firewall appliances configurations.

5. Validate whether VPC Firewall Rules and virtual firewall appliances are configured to allow traffic from the configuration management server to the other system servers.

6. Inspect production systems to determine whether they demonstrate consistent system configurations via version control #, last update date, settings, or other.

7. For a sample of in scope servers validate whether latest version patch (hardened as per industry practices) is applied wherever possible.

8. Validate that security hardening and configuration baselines are monitored are flagged wherever deviation is observed.

9. Validate that regular rule set reviews are conducted by relevant teams for network devices.","Log Management
E-CFM-01
E-CFM-02
E-CFM-03
E-CFM-04
E-CFM-05
" 
CFM-02,Configuration Management,"Default ""Deny-all"" Settings","Where applicable, the information system default access configurations are set to ""deny-all.""",Technology,Preventive,Infrastructure Management Policy,"1. Prepare a list of in-scope network devices and production accounts and ensure that default deny-all rules are configured

2. Ensure that deny-all rule precedes all other applied rules in terms of priority.","1. For a list of in-scope network devices and production accounts, validate that default deny-all rules are configured

2. Validate that deny-all rule precedes all other applied rules in terms of priority.","E-AM-02 
E-CFM-03

" 
CFM-03,Configuration Management,Remote Access: Prohibited Protocols and Commands,Organization defines a listing of prohibited user commands and prohibited protocols that can be used in a remote session.,Process,Preventive,Infrastructure Management Policy,1. Prepare and maintain the listing of prohibited user commands and prohibited protocols that can be used in a remote session.,1. Inspect security hardening standard to determine the listing of prohibited user commands and prohibited protocols that can be used in a remote session.,E-CFM-06 
CFM-04,Configuration Management,Data Execution Prevention,Organization ensures data execution prevention (DEP) security features are enabled on production hosts to restrict code execution within memory.,Technology,Preventive,Infrastructure Management Policy,1. Ensure that configuration setting includes data execution prevention (DEP) security features enabled on production hosts to restrict code execution within memory. ,1. Check configuration setting to ensure data execution prevention (DEP) security features are enabled on production hosts to restrict code execution within memory. ,"E-CFM-02
E-CFM-03" 
CFM-05,Configuration Management,Client Run Time Technologies,Organization disables prohibited client run time technologies on information systems.,Technology,Preventive,Infrastructure Management Policy,1. Establish a process to ensure no prohibited application/software is installed on the machine.,"1. Inspect Organization's software compliance dashboard, to ensure no prohibited application/software is installed on the machine.",E-CFM-07 
CFM-06,Configuration Management,Prohibited Activity Monitoring,Organization information systems are configured to explicitly deny a predefined list of activities.,Technology,Detective,Infrastructure Management Policy,"1. Prepare a list of activities that shall be denied on Information Systems, e.g., removable media restriction.

2. Ensure that the denied activities are enforced on the Information systems.

3. Ensure that the logs are being maintained for monitoring.

4. The list shall be reviewed periodically.","1. Validate whether a list is being maintained that has the activities that shall be denied on Information Systems.

2. Inspect the activity logs to validate whether the denied activities are enforced and monitored on the Information systems.

3. Validate whether the periodic review history documentation is present.","E-CFM-08
E-CFM-09
E-CFM-10" 
CFM-07,Configuration Management,Configuration Checks,Organization uses mechanisms to detect deviations from baseline configurations on production environments.,Technology,Detective,Infrastructure Management Policy,"1. Ensure that security hardening and configuration baselines are being monitored for in-scope servers.

2. Deviations shall be generated for in-scope servers for which remediations shall be tracked to closure.

3. Design a process for security hardening and configuration baselines checks being accurate and updated at least annually.","1. Validate that security hardening and configuration baselines are being monitored for in-scope servers.

2. Validate that deviations are being generated for in-scope servers and remediations are tracked to closure.

3. Validate that the security hardening and configuration baselines checks are accurate and updated at least annually.","E-CFM-11
E-CFM-05" 
CFM-08,Configuration Management,Configuration Check Reconciliation: Logging,Organization reconciles the established device inventory against the enterprise log repository on a quarterly basis; devices which do not forward security configurations are remediated.,Process,Corrective,Infrastructure Management Policy,"1. Prepare an asset register to ensure asset life cycle is maintained as per the defined policy and/or standard of asset management.

2. Establish a process through which the device configuration logs can be fetched and reconciled with asset register quarterly.

3. Ensure that a process is established that tracks the deviations to remediation.","1. Inspects Organization asset register to ensure asset life cycle is maintained as per the defined policy and/or standard of asset management.

2. Validate whether the device configuration logs are being reconciled with asset register quarterly.

3. Validate for a sample of deviations whether the remediation is done in a timely manner.","E-AM-02

E-CFM-12 with E-AM-02

E-CFM-05
" 
CFM-09,Configuration Management,Time Clock Synchronization,Systems are configured to synchronize information system time clocks based on International Atomic Time or Coordinated Universal Time (UTC).,Technology,Preventive,Infrastructure Management Policy,"1. Ensure that the inventory includes all the ICT devices such as firewalls, routers and servers.

2. Ensure that a process has been established to use only hardened images for the servers.

3. Ensure that the NTP configuration (primary & secondary NTP servers) for these devices is configured.

4. Ensure that the time sync is enabled and stratums are defined.","1. Obtain a list of  in-scope ICT devices such as firewalls, routers and servers.

2. For servers, validate that security hardened images are used.

3. Obtain the NTP configuration for a sample of devices and check whether primary and secondary NTP servers are configured.

4. Validate whether time sync is enabled and stratums are defined and the time servers are working.","E-CFM-02

E-CFM-14

E-CFM-13

E-CFM-15" 
CFM-10,Configuration Management,Time Clock Configuration Access,Access to modify time data is restricted to authorized personnel.,Technology,Preventive,Infrastructure Management Policy,"1. Ensure that the ability to modify time data is restricted to authorized personnel.

2. Ensure that access reviews of authorized users and all remediations are appropriately tracked","1. Obtain a list of all users who have the ability to modify time data. 

2. Validate whether access reviews of these users were performed and all remediations are appropriately tracked","E-CFM-16

E-CFM-17
" 
CFM-11,Configuration Management,Default Device Passwords,Vendor-supplied default passwords are changed according to Organization standards prior to device installation on the Organization network or immediately after software or operating system installation.,Technology,Preventive,Infrastructure Management Policy,"1. Ensure that the security hardening and configuration baseline checks include enforcing disablement of default accounts.

2. Ensure that the security hardening and configuration baseline deviations are being tracked to resolution","1. Inspect security hardening and configuration baseline checks to determine whether they are configured to enforce disabling of default accounts.

2. Validate that the security hardening and configuration baseline deviations are being tracked to resolution.","E-CFM-02

E-CFM-05" 
CFM-12,Configuration Management,Process Isolation,Organization implements only one primary function per server within the production environment; the information system maintains a separate execution domain for each executing process.,Technology,Preventive,Infrastructure Management Policy,"1. Ensure that the security hardening and configuration baseline checks include installing one primary function per server within the production environment and the information system maintains a separate execution domain for each executing process.

2. Ensure that the security hardening and configuration baseline deviations are being tracked to resolution.","1. Inspect security hardening and configuration baseline checks include installing one primary function per server within the production environment and the information system maintains a separate execution domain for each executing process.

2. Validate that the security hardening and configuration baseline deviations are being tracked to resolution.","E-CFM-02

E-CFM-18

E-CFM-05" 
CFM-13,Configuration Management,Collaborative Devices,"Where applicable, collaborative computing devices used at Organization are configured to restrict remote activation and provide an explicit indication that they are in use.",Technology,Preventive,Infrastructure Management Policy,"1. In case of collaborative computing devices, ensure that an explicit indication is documented confirming its use and requirement.

2. Ensure that the security hardening and configuration baseline checks are configured to restrict remote activation on collaborative computing devices.

3. Ensure that the security hardening and configuration baseline deviations are being tracked to resolution","1. Validate whether the use of collaborative computing devices is being flagged and justification of its use is documented.

2. Inspect security hardening and configuration baseline checks to determine whether collaborative computing devices are configured to restrict remote activation.

3. Validate that the security hardening and configuration baseline deviations are being tracked to resolution","E-CFM-02

E-CFM-19

E-CFM-05" 
CFM-14,Configuration Management,Software Installation,Installation of software or programs in the production environment is approved by authorized personnel.,Process,Preventive,Infrastructure Management Policy,"1. Ensure Security hardening and Baseline configuration standards includes process established to determine whether the installation of software or programs in the production environment is approved by authorized personnel.

2. Prepare an authorized approval matrix for installation of software or programs in the production environment.","1. Inspect Security hardening and Baseline configuration standards to ensure that the installation of software or programs in the production environment is approved by authorized personnel is defined.

2. Inspect the authorized approval matrix for installation of software or programs in the production environment.","E-CFM-02        

E-CFM-20" 
CFM-15,Configuration Management,Job Schedules,"Schedule changes or the modifications of production jobs require:
 documented approval from authorized personnel
 documented monitoring details",Process,Preventive,Change Management Policy,"1. Prepare, document, and periodically review Organization's change management standard.

2. Ensure that the change management process includes tracking to determine whether schedule changes or the modifications of production jobs require:
 documented approval from authorized personnel
 documented monitoring details","1. Obtain Organization's change management standard and validate whether it is periodically reviewed.

2. For a sample of change tickets, inspect change management process flow documentation (e.g., ticketing/tracking tools) to determine whether schedule changes or the modifications of production jobs require:
 documented approval from authorized personnel
 documented monitoring details","E-CFM-21

E-CFM-22

E-CFM-23

E-CFM-24" 
CHM-01,Change Management,Change Management Workflow,"Change scope, change type, and roles and responsibilities are pre-established and documented in a change control workflow; notification and approval requirements are also pre-established based on risk associated with change scope and type.",Process,Preventive,Change Management Policy,"1. Ensure that the change management process is established and well-documented, and should be approved by the management and communicated to all the relevant stakeholders.

2. Ensure that roles and responsibilities are defined for each activity and  change scope, that change type is predefined. 

3. Ensure that the change workflow has a mandatory approval and notification requirements incorporated based on risk and change type.","1. Inspect Organizations policy to determine whether:
a. Change scope, change type, and roles and responsibilities are pre-established.
b. Notification and approval requirements are pre-established based on the risk associated with change scope and type.

2. Inspect change management ticketing and tracking tools to determine whether the change control workflow is defined in accordance with the defined requirements.","E-CHM-01

E-CHM-03" 
CHM-02,Change Management,Change Approval,"Prior to introducing changes into the production environment, approval from authorized personnel is required based on the following:
 change description
 impact of change
 test results
 back-out plan",Process,Preventive,Change Management Policy,"

1. Ensure that all the changes to the production environment are tracked in a Change Management tracking tool. All the change details should be documented. Some of the mandatory details for each change are:
a. Change Description
b. Change Impact
c. Test Details
d. Roll-out and Roll-back Plan
e. Change Approval
f. Change date and time

2. All the changes in the production environment should be approved by the authorized personnel prior to implementation. Make sure that the approver is independent of the change requestor and change implementor. If not, check that there a secondary approver to ensure segregation of duty is maintained.

3. Make sure that the deployment and change logs are retained as per organization's policy.","1. Inspect Change Management tracking tool to determine that requirements prior to introducing changes into the production environment, approval from appropriate personnel is documented including the following:
a. Change description
b. Impact of change
c. Test results
d. Back-out procedures

2. For a sample of changes, inspect corresponding change tickets, and verify if it includes the following information:
a. Change Description
b. Impact of changes
c. Roll back plan
d. Evidence of successful testing documentation
e. Approval of change prior to implementation

3. For the sampled changes, validate that the change was approved by a person independent of the person who requested or made the change. Alternatively, ensure that there is a second level of approval to ensure that segregation of duties is being maintained.

4. Inspect whether the change logs are retained as per the organization's policy.","E-CHM-02

E-CHM-03" 
CHM-03,Change Management,Segregation of Duties,Changes to the production environment are implemented by authorized personnel. ,Process,Preventive,Change Management Policy,"1. Ensure that the permission to implement changes to the production is limited to few authorized personnels. 

2. Ensure that the change implementor is not the change approver.
","1. Inspect Change Management tracking tool and for a sample of changes, inspect that change tickets were launched and appropriately approved.","E-CHM-02

E-CHM-03" 
CHM-04,Change Management,Communication of Maintenance and Downtime,Customer-impacting product and system changes are publicly communicated on the company website.,Process,Preventive,Change Management Policy,"1. Ensure that all the changes that impact the customers and customer product or services should be communicated to the customers on the company website.

2. In cases of any planned downtime due to a change, it should be communicated to the customers in advance on the website.",1. Inspect the company website to determine whether customer-impacting product and system changes are publicly communicated.,E-CHM-04 
CMS-01,Customer Managed Security,Customer Administrative Access,"For products that enable customers to manage their end users, privileged user roles exist with the capability to manage end user access to the relevant applications.",Technology,Preventive,Access Control Policy,"1. In cases where customers can manage the access of their end users, ensure that ability to configure privileged user roles exist.

2. Ensure that the customer's privileged user roles can manage end user access to the relevant applications.","1. Validate whether the customers can configure privileged user roles.

2. Inspect whether the customer defined privileged user roles can manage end user access to relevant applications.","E-CMS-01

E-CMS-05" 
CMS-02,Customer Managed Security,Customer Authentication,Authentication to organization customer-facing applications are  performed through secure log-on procedures.,Technology,Preventive,Access Control Policy,1. Ensure that authentication to organization customer-facing applications are performed through secure log-on procedures.,1. Inspect whether the authentication to organization customer-facing applications are performed through secure log-on procedures.,E-CMS-02 
CMS-03,Customer Managed Security,Customer Systems Monitoring,"As necessary, event logs are made available to customers.",Technology,Preventive,Logging & Monitoring Standard,1. Establish a process for the customers to access event logs as needed. ,1. Inspect the customer console to determine how the event logs are made available to the customer.,E-CMS-03 
CMS-04,Customer Managed Security,Customer Security Engagements,"Organization supports customer-requested security inquiries, questionnaires, and audits:
 in accordance with customer contracts and agreements
 to facilitate due diligence prior to licensing organization products",Process,Corrective,Customer Authentication Standard,"1. Establish a documented process to support customer-requested security inquiries, questionnaires, and audits:
 in accordance with customer contracts and agreements
 to facilitate due diligence prior to licensing organization products","1. Validate whether a process in place to support customer-requested security inquiries, questionnaires, and audits:
 in accordance with customer contracts and agreements
 to facilitate due diligence prior to licensing organization products

2. Inspect a sample customer inquiry, questionnaire, or audit.","E-CMS-02

E-CMS-04" 
CRY-01,Cryptography,Encryption Key Maintenance,Cryptographic keys are invalidated when compromised or at the end of their defined lifecycle period.,Process,Preventive,Cryptographic Management Policy,"1. Establish a process to ensure that organization approved key storage solutions are used.

2. Ensure that access to the cryptographic key stores is limited to authorized personnel.

3. Establish a process to periodically review the users access list for the keys and document the confirmation that these are authorized users.

4. Establish a process to ensure that the keys are rotated during either of the below events:
a) Suspicion that the key has been compromised
b) End of key life cycle

7. In case of termination or transfer of an individual with access to the key, establish a process for access review and key rotation.","1. Inspect the process and location of where Encryption keys are stored.

2. Obtain details of the process to ensure that access to the cryptographic key stores is limited to authorized personnel.

3. Review the users access list for the keys and confirmation that these are authorized users.

4. Obtain confirmation of key rotation at the occurence of either of the below events during last quarter:
a) Suspicion that the key has been compromised
b) End of key life cycle

7. For a sample of termination or transfer of an individual with access to the key, and review the process of key rotation.","E-CRY-01

E-CRY-02

E-CRY-03" 
CRY-02,Cryptography,Encryption Key Distribution,Organization prohibits the distribution of cryptographic keys in clear text.,Process,Preventive,Key Management Policy,1. Ensure that the Key management policy hass a prohibition on the distribution of cryptographic keys in clear text.,1. Inspect the Key management policy that shows that there is a prohibition on the distribution of cryptographic keys in clear text.,E-CRY-04 
